City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Mul,IN,82.81,overcast clouds,20.0667,79.6667,Taj Mahal
15,Buritizeiro,BR,77.27,clear sky,-17.3511,-44.9622,Santos Palace Hotel
16,Hamilton,US,87.01,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
24,Kavieng,PG,81.28,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
32,Naze,JP,78.01,heavy intensity rain,28.3667,129.4833,奄美ポートタワーホテル
33,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Yarmouth,US,76.03,overcast clouds,41.7057,-70.2286,Blue Rock Resort
43,Aquin,HT,84.96,broken clouds,18.2833,-73.4,Asheev Beach
47,Katsuura,JP,82.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
50,Butaritari,KI,82.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
51,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Pombas,CV,76.78,scattered clouds,17.1503,-25.0201,Paul Paradis
54,Sur,OM,89.49,few clouds,22.5667,59.5289,Sur Plaza Hotel
56,Freeport,US,84.69,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
58,Atuona,PF,77.52,few clouds,-9.8,-139.0333,Villa Enata
64,Sturgeon Falls,CA,88.09,scattered clouds,46.3646,-79.9326,Lincoln Motel
65,Torbat-E Jam,IR,78.55,clear sky,35.244,60.6225,White building
68,Bethel,US,81.1,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
76,Miranda De Ebro,ES,75.63,clear sky,42.6865,-2.947,Hospedería El Convento
78,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Jamestown,US,82.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Oeiras Do Para,BR,82.58,scattered clouds,-2.0031,-49.8544,Araticu Soft Hotel
88,Waddan,LY,83.39,clear sky,29.1614,16.139,محل الشريف محمد العايب
91,Hasaki,JP,75.49,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
93,Huilong,CN,81.99,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
96,Maryville,US,84.58,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
100,Kieta,PG,78.71,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
101,Manadhoo,MV,82.87,overcast clouds,5.7667,73.3833,Vevu Guesthouse
