City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.19,71,72,3.0,light rain
1,Mul,IN,20.0667,79.6667,82.81,73,100,5.64,overcast clouds
2,Albany,US,42.6001,-73.9662,81.3,75,99,1.72,overcast clouds
3,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,7,4.18,clear sky
4,Hobart,AU,-42.8794,147.3294,48.22,78,40,3.0,light rain
5,Lebu,CL,-37.6167,-73.65,54.01,85,97,14.29,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,38.59,87,90,2.1,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,42.46,70,40,4.61,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,36.48,92,47,3.2,scattered clouds
9,Maningrida,AU,-12.0667,134.2667,63.32,92,72,8.37,broken clouds
10,Busselton,AU,-33.65,115.3333,53.1,82,92,12.75,overcast clouds
11,Waipawa,NZ,-41.4122,175.5153,45.23,90,36,2.28,scattered clouds
12,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,10.36,broken clouds
13,Torbay,CA,47.6666,-52.7314,70.75,75,75,14.97,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,61.25,83,21,12.37,few clouds
15,Buritizeiro,BR,-17.3511,-44.9622,77.27,37,2,4.47,clear sky
16,Hamilton,US,39.1834,-84.5333,87.01,55,0,1.99,clear sky
17,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,87,20,19.57,few clouds
18,Shenkursk,RU,62.1091,42.896,51.04,88,0,3.42,clear sky
19,Mandalgovi,MN,45.7625,106.2708,63.43,81,91,15.66,moderate rain
20,Morondava,MG,-20.2833,44.2833,70.65,76,5,2.75,clear sky
21,Pitmedden,GB,57.3369,-2.1802,63.01,73,75,3.44,broken clouds
22,Coquimbo,CL,-29.9533,-71.3436,56.93,71,0,4.61,clear sky
23,Castro,BR,-24.7911,-50.0119,43.14,68,1,2.21,clear sky
24,Kavieng,PG,-2.5744,150.7967,81.28,77,100,10.13,overcast clouds
25,Sobolevo,RU,54.4299,31.8996,62.65,81,76,6.78,broken clouds
26,Tasiilaq,GL,65.6145,-37.6368,39.85,90,100,7.49,light rain
27,Srednekolymsk,RU,67.45,153.6833,61.34,42,100,9.78,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,16.11,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,69.75,73,100,23.31,light rain
30,Chuy,UY,-33.6971,-53.4616,47.91,82,34,7.7,scattered clouds
31,Shaowu,CN,27.3409,117.4831,72.91,95,100,2.3,overcast clouds
32,Naze,JP,28.3667,129.4833,78.01,89,100,26.73,heavy intensity rain
33,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,87,5.99,overcast clouds
34,Chulman,RU,56.8479,124.9104,60.91,93,100,2.93,overcast clouds
35,Kodiak,US,57.79,-152.4072,60.44,77,29,6.69,scattered clouds
36,Nikolskoye,RU,59.7035,30.7861,60.69,79,1,5.03,clear sky
37,Yarmouth,US,41.7057,-70.2286,76.03,88,90,8.01,overcast clouds
38,Hermanus,ZA,-34.4187,19.2345,50.9,82,100,2.73,light rain
39,Asau,RO,46.4333,26.4,67.12,99,100,3.65,light rain
40,Dikson,RU,73.5069,80.5464,38.44,81,0,6.82,clear sky
41,Beringovskiy,RU,63.05,179.3167,45.36,98,100,6.2,light rain
42,Chokurdakh,RU,70.6333,147.9167,57.85,49,100,7.67,overcast clouds
43,Aquin,HT,18.2833,-73.4,84.96,70,76,7.4,broken clouds
44,Ancud,CL,-41.8697,-73.8203,53.13,99,100,8.1,moderate rain
45,Paamiut,GL,61.994,-49.6678,43.77,81,12,3.94,few clouds
46,Barrow,US,71.2906,-156.7887,39.4,94,100,4.72,overcast clouds
