City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-07-14 04:17:00,-21.2,-175.2,71.76,88,75,13.8
1,Vanino,RU,2021-07-14 04:21:54,49.0869,140.2543,84.72,55,97,7.92
2,Hobart,AU,2021-07-14 04:14:45,-42.8794,147.3294,55.11,90,75,1.01
3,Guerrero Negro,MX,2021-07-14 04:15:40,27.9769,-114.0611,69.91,80,21,13.82
4,Bluff,NZ,2021-07-14 04:16:42,-46.6,168.3333,49.8,80,100,22.84
5,Alofi,NU,2021-07-14 04:17:33,-19.0595,-169.9187,78.69,89,50,11.5
6,Saldanha,ZA,2021-07-14 04:18:57,-33.0117,17.9442,48.54,71,38,6.13
7,Goderich,CA,2021-07-14 04:18:03,43.7501,-81.7165,67.91,94,98,8.05
8,Punta Arenas,CL,2021-07-14 04:16:42,-53.15,-70.9167,28.51,93,75,3.44
9,Voh,NC,2021-07-14 04:21:55,-20.9667,164.7,74.71,46,0,8.79
10,Puerto Ayora,EC,2021-07-14 04:16:52,-0.7393,-90.3518,71.71,89,79,9.8
11,Bredasdorp,ZA,2021-07-14 04:16:46,-34.5322,20.0403,39.27,79,4,7.54
12,Hervey Bay,AU,2021-07-14 04:17:56,-25.2986,152.8535,74.03,65,12,5.01
13,Jamestown,US,2021-07-14 04:11:58,42.097,-79.2353,70.92,94,90,5.01
14,Narsaq,GL,2021-07-14 04:17:36,60.9167,-46.05,46.62,75,100,2.48
15,Cape Town,ZA,2021-07-14 04:15:03,-33.9258,18.4232,48.11,81,75,1.99
16,Betare Oya,CM,2021-07-14 04:21:55,5.6,14.0833,64.45,99,72,2.13
17,New Norfolk,AU,2021-07-14 04:17:11,-42.7826,147.0587,54.75,88,100,0.96
18,Saskylakh,RU,2021-07-14 04:17:36,71.9167,114.0833,45.64,49,100,18.9
19,Rikitea,PF,2021-07-14 04:16:41,-23.1203,-134.9692,73.92,70,2,12.66
20,Huarmey,PE,2021-07-14 04:16:53,-10.0681,-78.1522,64.72,85,54,10.11
21,General Roca,AR,2021-07-14 04:21:56,-39.0333,-67.5833,28.8,42,2,6.31
22,Chuy,UY,2021-07-14 04:17:10,-33.6971,-53.4616,54.25,91,98,6.98
23,Hasaki,JP,2021-07-14 04:17:20,35.7333,140.8333,84.29,84,93,8.12
24,Cidreira,BR,2021-07-14 04:17:09,-30.1811,-50.2056,62.78,83,100,4.34
25,Santa Cruz,BO,2021-07-14 04:21:56,-17.8,-63.1667,77.58,49,35,8.52
26,San Quintin,MX,2021-07-14 04:18:06,30.4833,-115.95,68.59,83,13,3.56
27,Ushuaia,AR,2021-07-14 04:16:44,-54.8,-68.3,29.86,80,20,4.61
28,Albany,US,2021-07-14 04:11:56,42.6001,-73.9662,71.53,92,99,3.0
29,Cajamarca,PE,2021-07-14 04:21:56,-7.1638,-78.5003,51.91,90,30,6.24
30,Elmadag,TR,2021-07-14 04:21:57,39.9208,33.2308,65.34,65,0,3.44
31,Nyagan,RU,2021-07-14 04:21:57,62.1406,65.3936,55.99,44,5,7.9
